879269	187163
766068	172298
402917	49669
304428	33282
148528	39023
656934	85846
319885	110381
245912	247489
763489	286569
956376	197465
762999	83528
574214	239173
188193	276218
993927	197668
404158	35978
788192	242604
35471	148563
497613	41945
177800	145460
927209	265460
400494	20070
373920	269456
386504	274811
886195	19213
391197	261261
891569	85738
286421	147758
548273	292024
317749	166951
437226	132088
7272	229258
238668	46564
13857	149176
710325	54940
246459	164645
506746	223816
821816	107705
895552	263895
517101	30309
91965	86877
595697	176149
346774	291195
253559	206891
104418	195485
668265	176453
667296	213258
332811	111216
680176	138258
597666	32592
140076	128930
654695	49905
650497	35709
733530	174188
560849	115190
964746	126925
562069	101199
671664	238695
533128	197534
66402	106305
875360	66029
540850	220735
345312	121858
77293	154412
383629	291160
488324	219858
429102	205319
98855	112363
829119	170140
249883	142094
208992	180833
586391	106373
432118	42
736606	24226
449119	57733
318668	171059
944801	202362
494158	202901
512134	95501
866903	268088
632330	273909
527978	60287
422696	157280
474066	64022
54295	51048
849042	112658
279200	50485
59073	294741
396373	23680
206012	54796
632141	16006
259029	223235
305679	235597
115394	32073
602060	223307
773196	116568
639320	274935
880652	229227
893103	151831
946619	246672
863798	222861
584825	289433
359785	292672
169157	73243
337934	193590
845948	266379
98342	66658
831180	208967
386742	62647
336583	219316
733094	217355
504766	78363
105102	253803
94065	92905
698525	133488
544316	23473
457732	226677
288267	133655
107431	40243
227197	223790
855957	220526
275629	106779
691515	205432
735140	73845
379872	123275
195602	73845
562736	292349
925908	238909
566234	93506
376301	15270
4241	229924
530712	291195
835130	288313
30564	8087
278015	237870
54528	173647
85561	170420
393041	217976
128443	22223
76816	158253
183934	115641
111485	143174
117509	149352
192659	226770
509561	261771
425127	24192
640756	14271
833598	245990
128730	11966
508125	24915
970886	201248
705675	201068
672612	196583
998662	271010
889793	46803
269942	136903
469983	285517
702089	178083
332811	193946
954471	294216
930288	168014
815101	144967
117673	165158
829538	251573
444948	46661
190030	293010
629030	65475
519707	192948
661825	292349
555477	238069
138974	241917
257777	99392
182079	19068
268055	42717
924483	124249
334262	80744
373789	262745
315772	188886
117986	130427
330776	285603
569580	76729
766689	244859
230139	61276
438872	119776
47735	293601
658910	274358
400206	178083
298327	197812
182079	93910
875182	212073
404099	199651
814538	257263
364703	2158
490111	226338
354445	246064
685196	61748
418802	157568
304537	281076
209779	178600
77552	107983
491253	227450
861010	112664
934372	66001
905092	18742
916275	257683
820225	134347
822638	98105
145757	275958
892224	191681
983710	175519
138221	189104
301130	198216
834254	154588
898509	25609
93898	234421
851743	196458
659937	122640
156614	14271
60311	251817
58037	285695
92382	213364
429061	42717
959860	285621
648457	28422
294419	161359
762999	133137
259456	241778
974310	28701
669035	43587
989349	128102
350663	117698
545037	259549
523018	101483
26714	155575
326909	82777
774156	287469
523228	201200
97147	286569
530712	71052
472097	16090
879955	68058
897439	89582
785418	75311
630711	93804
127742	38158
262262	25609
71404	19814
111485	175081
309847	229258
980737	237629
674025	179049
360764	269314
576608	211167
362880	73192
96080	197071
41535	222448
161804	88602
163840	69280
922730	74873
280114	2651
720626	228390
751451	166764
45739	238705
27968	44854
5328	49055
465371	205699
784903	35665
444412	137936
748056	88694
906506	134347
414779	189836
346015	142900
236939	138215
196876	201471
363263	24778
722278	48839
911219	265915
609427	10903
13116	195579
838228	180508
463806	55079
361088	214913
249883	200910
286516	48460
340564	197614
5223	117395
137955	223790
803552	113124
209161	282566
951073	213364
480218	256154
696725	74614
656257	26350
60752	238848
354910	593
278444	206485
565752	97369
394078	129270
962576	144471
624085	73227
609601	162271
77193	147446
662115	139009
778327	131959
419482	66658
477441	89875
668660	2724
739600	38328
367585	189079
365153	101058
721884	20000
711448	99086
959551	170166
56819	137087
360128	60576
604279	100106
632010	68910
947734	177897
408517	109721
36532	283989
156756	52661
582693	96879
581579	88975
677382	32665
435530	272608
913021	14461
374432	274760
102550	251894
563804	84395
994990	62235
881071	101651
741893	296314
395681	86079
740636	107656
428696	91848
94437	138258
672808	86380
723770	7373
156701	115215
326909	215292
523018	203641
327377	195831
75127	240737
475649	44160
225258	50001
514601	140496
897038	87112
751307	57024
205379	261363
354795	47045
210425	292024
257191	76729
588197	229632
954749	81679
332314	282566
754904	216408
708554	166967
199919	298837
723899	111161
796384	283952
378989	74259
466057	215627
102665	76666
479598	19112
438132	100346
525491	112770
63820	196082
780680	57691
148879	161157
379201	14258
458911	81562
201449	66057
569686	233107
479484	190855
794408	131464
883579	30652
932822	281237
241684	259235
980615	152458
645415	24208
816153	77097
625989	217495
96568	127141
379262	235588
713947	190642
160985	73988
693302	132642
866386	73192
242898	150754
270729	81403
824312	121858
834047	118146
483107	250750
905555	297684
359393	8099
774010	77438
523018	166214
833159	285243
359802	168140
628543	182586
354795	52611
983687	282447
794223	76065
622246	281949
976309	40202
193499	152307
564467	270229
444795	218258
404626	298837
844670	293705
364246	117870
161624	72737
986055	229666
189313	242849
64801	16028
867128	140148
670930	141940
757383	37555
972095	176608
938624	132901
91427	201889
789373	44465
642889	92439
107051	258482
119610	117698
649725	172019
170201	156338
826921	68058
429432	129283
849312	119124
611766	37555
848942	201176
918452	56776
143133	51016
992097	286376
633969	138321
926320	216758
65306	114132
39485	26064
162073	281771
123486	240125
930229	292345
601345	231239
528211	254077
277208	285243
370350	226677
